nro,jugadorL,golesL,jugadorV,golesV
1,Bolivia,0,Uruguay,2
2,Colombia,2,Peru,0
3,Venezuela,0,Paraguay,1
4,Chile,2,Brasil,0
5,Argentina,0,Ecuador,2
6,Ecuador,2,Bolivia,0
7,Uruguay,3,Colombia,0
8,Paraguay,0,Argentina,0
9,Brasil,3,Venezuela,1
10,Peru,3,Chile,4
11,Bolivia,4,Venezuela,2
12,Ecuador,2,Uruguay,1
13,Chile,1,Colombia,1
14,Argentina,1,Brasil,1
15,Peru,1,Paraguay,0
16,Colombia,0,Argentina,1
17,Venezuela,1,Ecuador,3
18,Paraguay,2,Bolivia,1
19,Uruguay,3,Chile,0
20,Brasi,3,Peru,0
21,Bolivia,2,Colombia,3
22,Ecuador,2,Paraguay,2
23,Chile,1,Argentina,2
24,Peru,2,Venezuela,2
25,Brasil,2,Uruguay,2
26,Colombia,3,Ecuador,1
27,Uruguay,1,Peru,0
28,Venezuela,1,Chile,4
29,Argentina,2,Bolivia,0
30,Paraguay,2,Brasil,2
31,Bolivia,0,Peru,3
32,Colombia,2,Venezuela,0
33,Ecuador,0,Brasil,3
34,Argentina,1,Uruguay,0
35,Paraguay,2,Chile,1
36,Uruguay,4,Paraguay,0
37,Venezuela,2,Argentina,2
38,Chile,3,Bolivia,0
39,Brasil,2,Colombia,1
40,Peru,2,Ecuador,1
41,Ecuador,3,Chile,0
42,Uruguay,3,Venezuela,0
43,Paraguay,0,Colombia,1
44,Brasil,5,Bolivia,0
45,Peru,2,Argentina,2
46,Bolivia,2,Ecuador,2
47,Colombia,2,Uruguay,2
48,Argentina,0,Paraguay,1
49,Chile,2,Peru,1
50,Venezuela,0,Brasil,2
51,Colombia,0,Chile,0
52,Uruguay,2,Ecuador,1
53,Paraguay,1,Peru,4
54,Venezuela,5,Bolivia,0
55,Brasil,3,Argentina,0
56,Bolivia,1,Paraguay,0
57,Ecuador,3,Venezuela,0
58,Chile,3,Uruguay,1
59,Argentina,3,Colombia,0
60,Peru,0,Brasil,2
61,Colombia,1,Bolivia,0
62,Uruguay,1,Brasil,4
63,Paraguay,2,Ecuador,1
64,Argentina,1,Chile,0
65,Venezuela,2,Peru,2
66,Bolivia,2,Argentina,0
67,Ecuador,0,Colombia,2
68,Chile,3,Venezuela,1
69,Brasil,3,Paraguay,0
70,Peru,2,Uruguay,1
71,Venezuela,0,Colombia,0
72,Chile,0,Paraguay,3
73,Uruguay,0,Argentina,0
74,Brasil,2,Ecuador,0
75,Peru,2,Bolivia,1
76,Bolivia,1,Chile,0
77,Colombia,1,Brasil,1
78,Ecuador,1,Peru,2
79,Argentina,1,Venezuela,1
80,Paraguay,1,Uruguay,2






















